ID,CODELESSON,LESSON,VALUELESSON
129543,451300,Environmental Specialist,1
129552,2143800,Project Manager,4
129613,1287700,Executive Secretary,3
129640,1291300,Mechanical Systems Engineer,4
129659,2139400,Executive Secretary,1
129686,3079400,VP Quality Control,2
129695,139200,Budget/Accounting Analyst III,3
129729,698200,Environmental Tech,4
129756,803800,Computer Systems Analyst IV,1
129774,139300,Human Resources Assistant III,4
129808,976500,Engineer IV,3
129817,139400,Computer Systems Analyst I,4
129862,1278000,Web Developer II,4
129880,887200,Senior Editor,3
129899,887600,Cost Accountant,2
129923,730300,Actuary,4
129932,2202500,Account Coordinator,3
129941,139700,Accounting Assistant IV,4
129950,1296600,Financial Analyst,4
129969,2112300,Product Engineer,3
130004,139900,Community Outreach Specialist,4
130040,139800,Technical Writer,2
130086,618600,Programmer Analyst IV,4
130110,745900,Clinical Specialist,2
130129,887400,Geologist IV,2
130147,1077904,Product Engineer,4
130156,1077903,Sales Representative,4
130165,1077902,Business Systems Development Analyst,1
130174,1077900,Account Representative IV,1
130183,140100,Electrical Engineer,1
130208,2134400,Accounting Assistant IV,2
130217,1053000,VP Sales,4
130226,140200,Librarian,3
130244,2077700,VP Product Management,1
130253,140300,Design Engineer,1
130305,618900,Operator,3
130314,140900,Compensation Analyst,2
130323,1228900,Internal Auditor,3
130396,803700,Data Coordiator,2
130448,619100,Geologist I,4
130493,140600,Registered Nurse,2
130509,1242500,Help Desk Technician,2
130527,2228801,Operator,2
130581,2546000,Senior Financial Analyst,2
130590,141400,Structural Analysis Engineer,3
130606,976400,Director of Sales,1
130624,141500,Actuary,2
130633,971600,VP Product Management,1
130697,142400,Operator,1
130776,138000,Sales Associate,2
130785,2296100,Human Resources Manager,2
130794,142600,Dental Hygienist,3
130837,2125200,Senior Developer,4
130873,3025800,Product Engineer,4
130891,705300,Administrative Assistant III,2
130907,1172700,Speech Pathologist,2
130916,2144900,Software Engineer I,1
130934,142800,Biostatistician I,3
130943,143100,Budget/Accounting Analyst I,1
130989,142900,Computer Systems Analyst I,2
131061,2190400,Desktop Support Technician,2
131098,143300,Director of Sales,3
131113,794800,Mechanical Systems Engineer,4
131159,143400,Help Desk Technician,1
131283,143700,Office Assistant III,3
131308,1195000,Business Systems Development Analyst,2
131371,1202900,Teacher,2
131380,13138000,Community Outreach Specialist,4
131399,144100,Associate Professor,1
131450,144300,GIS Technical Architect,3
131469,144400,Speech Pathologist,2
131496,144500,Web Developer IV,2
131511,1266500,Media Manager III,2
131520,144800,Registered Nurse,2
131566,2279200,Office Assistant I,2
131681,145200,Staff Accountant II,4
131742,2588900,VP Sales,3
131788,145600,Automation Specialist III,3
131803,145900,Teacher,3
131830,2132800,Paralegal,4
131876,146000,Nuclear Power Engineer,4
131946,2204400,Editor,4
131973,146400,Database Administrator III,3
132268,2346200,Quality Control Specialist,1
132338,1019500,Technical Writer,4
132374,1226300,Recruiting Manager,2
132408,2159600,Executive Secretary,2
132471,146600,Geological Engineer,1
132523,1112700,Pharmacist,1
132541,2517200,Desktop Support Technician,2
132602,146700,VP Marketing,2
132657,150500,Staff Scientist,1
132666,2200100,Nurse,4
132693,147000,VP Accounting,1
132709,150000,Food Chemist,3
132806,2245500,Staff Accountant III,2
132842,1072401,Computer Systems Analyst III,3
132851,147100,VP Accounting,4
132879,2156700,Quality Control Specialist,4
132903,395400,Junior Executive,2
132976,2297000,Software Consultant,1
133021,147200,Account Coordinator,1
133085,147300,GIS Technical Architect,2
133128,2142500,Geologist IV,4
133155,1323400,Senior Financial Analyst,4
133261,2614600,Database Administrator IV,2
133386,147500,Sales Representative,3
133465,1303904,Editor,3
133492,148700,Pharmacist,3
133508,147700,Mechanical Systems Engineer,4
133526,147800,Geologist I,1
133553,147900,Human Resources Assistant II,4
133650,148000,Operator,3
133669,148100,Geologist II,1
133702,148400,Programmer I,1
133711,789300,Account Representative II,1
133739,848300,Analog Circuit Design manager,3
133809,148200,Design Engineer,4
133827,2569900,Recruiter,1
133836,2569901,Structural Engineer,3
133845,2089600,Account Executive,3
133854,2275100,Programmer Analyst II,1
133863,2172700,Legal Assistant,3
133872,3115500,Accounting Assistant III,1
133881,146900,VP Quality Control,3
133942,2329900,Librarian,3
133951,963500,Project Manager,4
133960,148500,Actuary,4
133979,148600,Associate Professor,2
133997,2305800,Structural Engineer,4
134042,2346300,Automation Specialist IV,3
134079,148800,Software Engineer II,1
134097,148900,Systems Administrator III,3
134112,2218700,Programmer I,1
134121,2598200,Software Consultant,1
134130,153500,VP Sales,2
134149,814600,Environmental Tech,3
134228,2338400,Community Outreach Specialist,2
134237,2362100,Staff Scientist,2
134291,2307400,Recruiter,3
134307,3079800,Administrative Officer,1
134343,149000,Media Manager II,2
134422,2325100,Statistician I,1
134468,2558500,Administrative Assistant III,3
134495,787000,Account Coordinator,4
134510,2188900,Actuary,4
134574,2279600,Office Assistant III,2
134608,149300,Mechanical Systems Engineer,2
134680,3031400,Geological Engineer,3
134714,2257900,Research Assistant IV,4
134723,2493500,Nuclear Power Engineer,2
134811,887800,Occupational Therapist,4
134866,2324100,Assistant Manager,4
134875,2151100,Staff Accountant III,3
134909,2286500,Assistant Professor,2
134945,149500,Chemical Engineer,2
135063,149700,Web Developer IV,4
135081,2151900,Recruiting Manager,4
135124,2597100,Research Assistant III,1
135142,2287100,Financial Advisor,3
135160,150100,Tax Accountant,2
135179,87659321,Help Desk Technician,3
